Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,1066.050049,1070.510010,1065.010010,1066.069946,1066.069946,0
2018-01-02,1065.349976,1067.530029,1058.650024,1065.219971,1065.219971,0
2018-01-03,1062.069946,1072.750000,1061.449951,1062.540039,1062.540039,0
2018-01-04,1065.050049,1068.219971,1060.160034,1063.939941,1063.939941,0
2018-01-05,1062.550049,1064.380005,1058.650024,1061.079956,1061.079956,0
2018-01-08,1060.449951,1069.609985,1057.800049,1060.500000,1060.500000,0
2018-01-09,1068.599976,1072.079956,1063.500000,1067.689941,1067.689941,0
2018-01-10,1072.150024,1072.420044,1064.824951,1071.739990,1071.739990,0
2018-01-11,1070.150024,1073.260010,1061.734985,1069.670044,1069.670044,0
2018-01-12,1065.650024,1066.199951,1059.719971,1065.140015,1065.140015,0
2018-01-15,1055.810059,1064.599976,1055.810059,1055.800049,1055.800049,0
2018-01-16,1062.699951,1067.119995,1060.859985,1061.819946,1061.819946,0
2018-01-17,1064.199951,1070.349976,1061.910034,1062.459961,1062.459961,0
2018-01-18,1068.800049,1071.760010,1065.579956,1066.560059,1066.560059,0
2018-01-19,1070.199951,1070.599976,1062.900024,1069.689941,1069.689941,0
2018-01-22,1066.079956,1072.239990,1065.579956,1066.359985,1066.359985,0
2018-01-23,1068.449951,1077.530029,1065.900024,1068.810059,1068.810059,0
2018-01-24,1072.800049,1072.800049,1060.814941,1072.760010,1072.760010,0
2018-01-25,1064.199951,1065.359985,1055.209961,1064.400024,1064.400024,0
2018-01-26,1065.650024,1066.520020,1058.000000,1064.890015,1064.890015,0
2018-01-29,1062.800049,1072.670044,1062.099976,1063.130005,1063.130005,0
2018-01-30,1070.349976,1074.849976,1066.829956,1069.790039,1069.790039,0
2018-01-31,1071.699951,1073.739990,1063.430054,1072.540039,1072.540039,0
2018-02-01,1068.729980,1073.859985,1067.150024,1069.020020,1069.020020,0
2018-02-02,1070.449951,1089.589966,1069.699951,1071.180054,1071.180054,0
2018-02-05,1090.150024,1091.130005,1084.020020,1090.010010,1090.010010,0
2018-02-06,1097.150024,1098.489990,1081.319946,1093.300049,1093.300049,0
2018-02-07,1081.599976,1087.099976,1078.420044,1079.260010,1079.260010,0
2018-02-08,1089.199951,1095.170044,1084.640015,1089.420044,1089.420044,0
2018-02-09,1097.849976,1097.849976,1083.689941,1095.859985,1095.859985,0
2018-02-12,1083.250000,1086.180054,1081.050049,1083.170044,1083.170044,0
2018-02-13,1081.349976,1086.699951,1078.849976,1082.609985,1082.609985,0
2018-02-14,1084.699951,1085.150024,1074.655029,1083.770020,1083.770020,0
2018-02-15,1069.979980,1072.420044,1063.130005,1070.010010,1070.010010,0
2018-02-16,1063.099976,1067.290039,1060.515015,1063.069946,1063.069946,0
2018-02-19,1065.800049,1069.160034,1064.599976,1065.630005,1065.630005,0
2018-02-20,1067.550049,1074.930054,1065.739990,1066.709961,1066.709961,0
2018-02-21,1072.349976,1077.199951,1070.045044,1072.540039,1072.540039,0
2018-02-22,1076.189941,1085.760010,1076.189941,1074.859985,1074.859985,0
2018-02-23,1081.260010,1081.260010,1074.224976,1080.079956,1080.079956,0
2018-02-26,1077.000000,1077.010010,1068.074951,1075.000000,1075.000000,0
2018-02-27,1070.219971,1078.849976,1068.010010,1069.699951,1069.699951,0
2018-02-28,1079.449951,1084.089966,1074.645020,1079.390015,1079.390015,0
2018-03-01,1085.250000,1087.739990,1079.604980,1085.349976,1085.349976,0
2018-03-02,1081.910034,1085.319946,1075.650024,1081.949951,1081.949951,0
2018-03-05,1078.900024,1083.079956,1075.665039,1079.209961,1079.209961,0
2018-03-06,1074.849976,1078.000000,1059.489990,1076.660034,1076.660034,0
2018-03-07,1064.349976,1070.569946,1063.939941,1063.160034,1063.160034,0
2018-03-08,1067.099976,1075.449951,1065.849976,1066.150024,1066.150024,0
2018-03-09,1071.869995,1071.869995,1063.739990,1073.459961,1073.459961,0
2018-03-12,1064.329956,1067.420044,1062.260010,1064.050049,1064.050049,0
2018-03-13,1063.829956,1067.569946,1060.829956,1063.859985,1063.859985,0
2018-03-14,1066.060059,1068.689941,1060.239990,1066.400024,1066.400024,0
2018-03-15,1063.030029,1067.849976,1061.630005,1062.550049,1062.550049,0
2018-03-16,1068.839966,1071.560059,1063.780029,1068.750000,1068.750000,0
2018-03-19,1070.099976,1074.300049,1068.314941,1070.209961,1070.209961,0
2018-03-20,1072.140015,1073.030029,1066.949951,1072.160034,1072.160034,0
2018-03-21,1070.770020,1072.829956,1069.410034,1070.550049,1070.550049,0
2018-03-22,1064.140015,1080.469971,1063.880005,1063.959961,1063.959961,0
2018-03-23,1080.500000,1083.520020,1075.094971,1079.900024,1079.900024,0
2018-03-26,1082.869995,1082.880005,1074.564941,1082.530029,1082.530029,0
2018-03-27,1074.329956,1075.729980,1067.130005,1074.300049,1074.300049,0
2018-03-28,1073.349976,1074.520020,1061.964966,1074.119995,1074.119995,0
2018-03-29,1062.949951,1067.709961,1060.449951,1063.410034,1063.410034,0
2018-03-30,1062.020020,1065.540039,1060.290039,1062.000000,1062.000000,0
2018-04-02,1060.550049,1062.060059,1052.000000,1060.989990,1060.989990,0
2018-04-03,1056.229980,1058.849976,1052.819946,1056.160034,1056.160034,0
2018-04-04,1053.760010,1065.719971,1053.650024,1053.729980,1053.729980,0
2018-04-05,1057.369995,1063.300049,1055.500000,1057.430054,1057.430054,0
2018-04-06,1061.689941,1071.180054,1061.689941,1061.640015,1061.640015,0
2018-04-09,1069.630005,1071.310059,1064.229980,1070.459961,1070.459961,0
2018-04-10,1069.689941,1071.739990,1063.030029,1068.770020,1068.770020,0
